Taint Flag Indentifier,Input Source,Nature,Trust Level,Language
ICC,Android Inter-Component Communication,GENERAL,0|5,DEFAULT|cpp
SESSIONSTORAGE,Session Storage,SPECIFIC,0|5,DEFAULT|cpp
REMOTESTORAGE,Web,GENERAL,0|5,DEFAULT|cpp
LOCALSTORAGE,Local Storage,SPECIFIC,0|5,DEFAULT|cpp
VALIDATED_CROSS_SESSION_CONTAMINATION,,NEUTRAL,,DEFAULT
VALIDATED_PATH_MANIPULATION,,NEUTRAL,,DEFAULT
EXCEPTION_COM_ALLAIRE_COLDFUSION_HTTPFILENOTFOUND,,SPECIFIC,,DEFAULT
VALIDATED_ACCESS_CONTROL_LDAP,,NEUTRAL,,DEFAULT
VALIDATED_BUFFER_OVERFLOW,,NEUTRAL,,DEFAULT
VALIDATED_OPEN_REDIRECT,,NEUTRAL,,DEFAULT
EXCEPTION_COM_ALLAIRE_COLDFUSION_HTTPCOOKIEVALUENOTPASSED,,SPECIFIC,,DEFAULT
EXCEPTION_COM_ALLAIRE_COLDFUSION_HTTPCONTINUE,,SPECIFIC,,DEFAULT
EXCEPTION_COM_ALLAIRE_COLDFUSION_HTTPPAYMENTREQUIRED,,SPECIFIC,,DEFAULT
EXCEPTION_COM_ALLAIRE_COLDFUSION_HTTPURLVALUENOTPASSED,,SPECIFIC,,DEFAULT
CURSES,Curses Window,GENERAL,5|1,DEFAULT|cpp
VALIDATED_ACCESS_CONTROL_MQ,,NEUTRAL,,DEFAULT
VALIDATED_ACCESS_CONTROL_DATABASE,,NEUTRAL,,DEFAULT
CLASS_NAME,,SPECIFIC,,DEFAULT
STDIN,Standard Input Stream,GENERAL,5|1,DEFAULT|cpp
NOT_NULL_TERMINATED,,NEUTRAL,,DEFAULT
EXCEPTION_COM_ALLAIRE_COLDFUSION_HTTPCFHTTPREQUESTENTITYTOOLARGE,,SPECIFIC,,DEFAULT
EXCEPTION_COM_ALLAIRE_COLDFUSION_HTTPCREATED,,SPECIFIC,,DEFAULT
VALIDATED_HEADER_MANIPULATION_COOKIES,,NEUTRAL,,DEFAULT
DECRYPT,,SPECIFIC,,DEFAULT
EXCEPTION_COM_ALLAIRE_COLDFUSION_REQUEST_TIMEOUT,,SPECIFIC,,DEFAULT
EXCEPTION_MISSINGINCLUDE,,SPECIFIC,,DEFAULT
PROCESSSTREAM,,SPECIFIC,,DEFAULT
FORM,Web Form,GENERAL,0|5,DEFAULT|cpp
EXCEPTION_COM_ALLAIRE_COLDFUSION_HTTPSERVERERROR,,SPECIFIC,,DEFAULT
EXCEPTION_COM_ALLAIRE_COLDFUSION_HTTPGONE,,SPECIFIC,,DEFAULT
VALIDATED_INTEGER_OVERFLOW,,NEUTRAL,,DEFAULT
